Country,year,Population,area
Belize,1962,97389.0,22970.0
Benin,1962,2503232.0,112620.0
Bermuda,1962,46724.0,50.0
Bhutan,1962,234703.0,47000.0
Bolivia,1962,3838096.0,1098580.0
Bosnia-Herzegovina,1962,3341809.0,51210.0
Botswana,1962,549990.0,581730.0
Brazil,1962,77007549.0,8514880.0
Brunei,1962,89603.0,5770.0
Bulgaria,1962,8004367.0,110990.0
Burkina Faso,1962,4960325.0,274220.0
Burundi,1962,2894510.0,27830.0
Cambodia,1962,6026696.0,181040.0
Cameroon,1962,5593768.0,475440.0
Canada,1962,18659663.0,9984670.0
Cape Verde,1962,210866.0,4030.0
Cayman Islands,1962,8142.0,260.0
Chad,1962,3122357.0,1284000.0
Channel Islands,1962,111463.0,190.0
Chile,1962,8054166.0,756090.0
China,1962,665426760.0,9599960.0
Colombia,1962,17500166.0,1141750.0
Comoros,1962,194960.0,1860.0
"Congo, Dem. Rep.",1962,16041247.0,2344860.0
"Congo, Rep.",1962,1067611.0,342000.0
Costa Rica,1962,1432583.0,51100.0
Cote d'Ivoire,1962,3740503.0,322460.0
Croatia,1962,4251421.0,56540.0
Cuba,1962,7450404.0,109890.0
Cyprus,1962,577691.0,9250.0
Denmark,1962,4649179.0,43090.0
Djibouti,1962,94200.0,23200.0
Dominica,1962,61984.0,750.0
Ecuador,1962,4812892.0,283560.0
Egypt,1962,28560741.0,1001450.0
El Salvador,1962,2927861.0,21040.0
Equatorial Guinea,1962,257940.0,28050.0
Eritrea,1962,1476321.0,117600.0
Estonia,1962,1245098.0,45230.0
Ethiopia,1962,23221331.0,1221900.0
Faeroe Islands,1962,35153.0,1390.0
Fiji,1962,421576.0,18270.0
Finland,1962,4494623.0,338150.0
France,1962,47121575.0,549190.0
French Polynesia,1962,83654.0,4000.0
Gabon,1962,509806.0,267670.0
Gambia,1962,383525.0,11300.0
Georgia,1962,4292101.0,69700.0
Germany,1962,74238494.0,356970.0
Ghana,1962,7085463.0,238540.0
Gibraltar,1962,22133.0,10.0
Greece,1962,8412059.0,131960.0
Greenland,1962,33730.0,341700.0
Grenada,1962,92424.0,340.0
Guam,1962,69607.0,540.0
Guatemala,1962,4356579.0,108890.0
Guinea,1962,3690960.0,245860.0
Guinea-Bissau,1962,629973.0,36130.0
Guyana,1962,600559.0,214970.0
Haiti,1962,4022596.0,27750.0
Honduras,1962,2139208.0,112490.0
"Hong Kong, China",1962,3391625.0,1092.0
Hungary,1962,10064667.0,93030.0
